productId,isActive,customId,title,series,model,manufacturer,brand,qtyInStock,mrp,description,productUrl,expectedDeliveryInDays,returnProductInDays,mainImage,tags,hsn,sku,barcode,srp,costPrice,warrantyDuration,weightValue,isTrackQty,isPhysicalProduct,isSellEvenOutStock,,,
62da57fe863ba7c37a132212,TRUE,2732,Dovel Floral Table Top Basin (White),TABLE TOP BASIN,FLORAL,DOVEL,62834e7eaff84f6680ff9665,1000,1250,L 370 W 300 H 115 mm,dovel-floral-table-top-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Floral Table Top Basin (White).jpg,,,,,1250,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132213,TRUE,2733,Dovel Elisa Wall Hung Water Closet With Slim Seat Cover (White),WATER CLOSET,ELISA,DOVEL,62834e7eaff84f6680ff9665,1000,8000,L 535 W 350 H 365 mm,dovel-elisa-wall-hung-closet-white-,2,7,uploads/catalog/product/DOVEL/Dovel Elisa Wall Hung Toilet (White).jpg,,,,,8000,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132214,TRUE,2734,Dovel Liza Wall Hung Water Closet (White),WATER CLOSET,LIZA,DOVEL,62834e7eaff84f6680ff9665,1000,5600,L 505 W 350 H 380 mm,dovel-liza-wall-hung-closet-white-,2,7,uploads/catalog/product/DOVEL/Dovel Liza Wall Hung Toilet (White).jpg,,,,,5600,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132215,TRUE,2735,Dovel Alto Wall Hung Water Closet With Slim Seat Cover (White),WATER CLOSET,ALTO,DOVEL,62834e7eaff84f6680ff9665,1000,5600,L 495 W 360 H 365 mm,dovel-alto-wall-hung-closet-white-,2,7,uploads/catalog/product/DOVEL/Dovel Alto Wall Hung Toilet (White).jpg,,,,,5600,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132216,TRUE,2736,Dovel Delta Rectangle Table Top Basin (White),TABLE TOP BASIN,DELTA,DOVEL,62834e7eaff84f6680ff9665,1000,3000,L 630 W 405 H 110 mm,dovel-delta-table-top-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Delta Table Top Basin (White).jpg,,,,,3100,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132217,TRUE,2737,Dovel Coco Rimless Wall Hung Water Closet With Slim Seat Cover (White),WATER CLOSET,COCO,DOVEL,62834e7eaff84f6680ff9665,1000,5900,L 510 W 360 H 345 mm,dovel-coco-wall-hung-closet-white-,2,7,uploads/catalog/product/DOVEL/Dovel Coco Wall Hung Toilet (White).jpg,,,,,6000,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132218,TRUE,2738,Dovel Lotus Table Top Basin (White),TABLE TOP BASIN,LOTUS,DOVEL,62834e7eaff84f6680ff9665,1000,3000,L 535 W 360 H 112 mm,dovel-lotus-table-top-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Lotus Table Top Basin (White).jpg,,,,,0,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132219,TRUE,2739,Dovel Jazz Wall Hung Water Closet With Slim Seat Cover (White),WATER CLOSET,JAZZ,DOVEL,62834e7eaff84f6680ff9665,1000,5900,L 495 W 360 H 360 mm,dovel-jazz-wall-hung-closet-white-,2,7,uploads/catalog/product/DOVEL/Dovel Jazz Wall Hung Toilet (White).jpg,,,,,5900,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a13221a,TRUE,2741,Dovel Levis One Piece Wash Basin (White),ONE PIECE WASH BASIN,LEVIS,DOVEL,62834e7eaff84f6680ff9665,1000,5000,L 455 W 355 H 330 mm,dovel-levis-one-piece-wash-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Levis One Piece Wash Basin (White).jpg,,,,,0,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a13221b,TRUE,2742,Dovel Avio Rectangle Wall Hung Basin (White),WALL HUNG BASIN,AVIO,DOVEL,62834e7eaff84f6680ff9665,1000,1250,L 325 W 295 H 120 mm,dovel-avio-wall-hung-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Avio Wall Hung Basin (White).jpg,,,,,1150,0,0,0,TRUE,TRUE,TRUE,,,
